time_sec,speed_mph,speed_kmh
200.0,42.1,67.7533824
201.0,43.5,70.00646400000001
202.0,45.1,72.58141440000001
203.0,46.0,74.029824
204.0,46.8,75.3172992
205.0,47.5,76.44384000000001
206.0,47.5,76.44384000000001
207.0,47.3,76.1219712
208.0,47.2,75.96103680000002
209.0,47.0,75.63916800000001
210.0,47.0,75.63916800000001
211.0,47.0,75.63916800000001
212.0,47.0,75.63916800000001
213.0,47.0,75.63916800000001
214.0,47.2,75.96103680000002
215.0,47.4,76.2829056
216.0,47.9,77.0875776
217.0,48.5,78.053184
218.0,49.1,79.01879040000001
219.0,49.5,79.66252800000001
220.0,50.0,80.4672
221.0,50.6,81.4328064
222.0,51.0,82.07654400000001
223.0,51.5,82.88121600000001
224.0,52.2,84.00775680000001
225.0,53.2,85.61710080000002
226.0,54.1,87.06551040000001
227.0,54.6,87.8701824
228.0,54.9,88.3529856
229.0,55.0,88.51392000000001
230.0,54.9,88.3529856
231.0,54.6,87.8701824
232.0,54.6,87.8701824
233.0,54.8,88.1920512
234.0,55.1,88.67485440000002
235.0,55.5,89.31859200000001
236.0,55.7,89.64046080000001
237.0,56.1,90.28419840000001
238.0,56.3,90.6060672
239.0,56.6,91.0888704
240.0,56.7,91.2498048
241.0,56.7,91.2498048
242.0,56.5,90.927936
243.0,56.5,90.927936
244.0,56.5,90.927936
245.0,56.5,90.927936
246.0,56.5,90.927936
247.0,56.5,90.927936
248.0,56.4,90.7670016
249.0,56.1,90.28419840000001
250.0,55.8,89.8013952
251.0,55.1,88.67485440000002
252.0,54.6,87.8701824
253.0,54.2,87.22644480000001
254.0,54.0,86.904576
255.0,53.7,86.42177280000001
256.0,53.6,86.26083840000001
257.0,53.9,86.7436416
258.0,54.0,86.904576
259.0,54.1,87.06551040000001
260.0,54.1,87.06551040000001
261.0,53.8,86.5827072
262.0,53.4,85.93896960000001
263.0,53.0,85.295232
264.0,52.6,84.6514944
265.0,52.1,83.84682240000001
266.0,52.4,84.3296256
267.0,52.0,83.685888
268.0,51.9,83.5249536
269.0,51.7,83.20308480000001
270.0,51.5,82.88121600000001
271.0,51.6,83.04215040000001
272.0,51.8,83.3640192
273.0,52.1,83.84682240000001
274.0,52.5,84.49056
275.0,53.0,85.295232
276.0,53.5,86.09990400000001
277.0,54.0,86.904576
278.0,54.9,88.3529856
279.0,55.4,89.15765760000001
280.0,55.6,89.47952640000001
281.0,56.0,90.123264
282.0,56.0,90.123264
283.0,55.8,89.8013952
